Token,Frecuencia,Porcentaje
avenida,28,2.62
choque,20,1.87
registro,19,1.78
fecha,17,1.59
distrito,17,1.59
expediente,15,1.4
evento,15,1.4
clasificado,15,1.4
conductor,14,1.31
vehiculo,10,0.94
despiste,10,0.94
volcadura,10,0.94
unidad,10,0.94
atropello,9,0.84
presento,8,0.75
multiple,8,0.75
fuga,8,0.75
lima,6,0.56
vehicular,6,0.56
simple,6,0.56
automovil,6,0.56
transporte,6,0.56
publico,6,0.56
san,6,0.56
atropellado,6,0.56
victima,6,0.56
quedo,6,0.56
personas,5,0.47
dos,5,0.47
mayor,5,0.47
central,5,0.47
calzada,5,0.47
independencia,5,0.47
caida,5,0.47
pasajero,5,0.47
incendio,5,0.47
colision,4,0.37
particular,4,0.37
danos,4,0.37
trasladada,4,0.37
mas,4,0.37
camioneta,4,0.37
impacto,4,0.37
carga,4,0.37
tres,4,0.37
unidades,4,0.37
siniestro,4,0.37
lugar,4,0.37
mototaxi,4,0.37
estacionado,4,0.37
reportaron,4,0.37
poste,4,0.37
causa,4,0.37
siniestros,3,0.28
vehiculos,3,0.28
hechos,3,0.28
tabular,3,0.28
norte,3,0.28
carretera,3,0.28
tupac,3,0.28
amaru,3,0.28
universitaria,3,0.28
horas,3,0.28
punta,3,0.28
manana,3,0.28
velocidad,3,0.28
senalizacion,3,0.28
realizar,3,0.28
carril,3,0.28
peatonal,3,0.28
conductores,3,0.28
via,3,0.28
cercado,3,0.28
juan,3,0.28
lurigancho,3,0.28
miraflores,3,0.28
ate,3,0.28
villa,3,0.28
salvador,3,0.28
victoria,3,0.28
comas,3,0.28
surco,3,0.28
objeto,3,0.28
fijo,3,0.28
olivos,3,0.28
callao,3,0.28
martin,3,0.28
porres,3,0.28
chorrillos,3,0.28
rimac,3,0.28
santa,3,0.28
anita,3,0.28
datos,2,0.19
viales,2,0.19
archivo,2,0.19
prueba,2,0.19
pipelines,2,0.19
procesamiento,2,0.19
lenguaje,2,0.19
natural,2,0.19
periodo,2,0.19
documento,2,0.19
casos,2,0.19
estructura,2,0.19
tabla,2,0.19
util,2,0.19
texto,2,0.19
corrido,2,0.19
identificados,2,0.19
id,2,0.19
tipo,2,0.19
descripcion,2,0.19
alcance,2,0.19
combi,2,0.19
abancay,2,0.19
altura,2,0.19
jiron,2,0.19
cusco,2,0.19
refirio,2,0.19
pista,2,0.19
encontraba,2,0.19
humeda,2,0.19
garua,2,0.19
matutina,2,0.19
registraron,2,0.19
heridos,2,0.19
solo,2,0.19
materiales,2,0.19
paragolpes,2,0.19
posterior,2,0.19
peaton,2,0.19
cruzaba,2,0.19
proceres,2,0.19
crucero,2,0.19
involucrado,2,0.19
motocicteta,2,0.19
lineal,2,0.19
circulaba,2,0.19
moderada,2,0.19
contusiones,2,0.19
leves,2,0.19
centro,2,0.19
salud,2,0.19
cercano,2,0.19
bajada,2,0.19
balta,2,0.19
madrugada,2,0.19
perdio,2,0.19
control,2,0.19
esquivar,2,0.19
obstaculo,2,0.19
separador,2,0.19
activaron,2,0.19
bolsas,2,0.19
aire,2,0.19
ocupante,2,0.19
resulto,2,0.19
ileso,2,0.19
camion,2,0.19
pesada,2,0.19
kilometro,2,0.19
doce,2,0.19
debido,2,0.19
maniobra,2,0.19
brusca,2,0.19
evitar,2,0.19
detenido,2,0.19
mercaderia,2,0.19
transportada,2,0.19
esparcida,2,0.19
generando,2,0.19
congestion,2,0.19
involucro,2,0.19
cuatro,2,0.19
pachacutec,2,0.19
origino,2,0.19
frenada,2,0.19
repentina,2,0.19
cadena,2,0.19
hora,2,0.19
atendidas,2,0.19
lesiones,2,0.19
menores,2,0.19
placa,2,0.19
identificada,2,0.19
aviacion,2,0.19
dio,2,0.19
testigos,2,0.19
indicaron,2,0.19
color,2,0.19
oscuro,2,0.19
lesionadas,2,0.19
incidente,2,0.19
pasajera,2,0.19
sufrio,2,0.19
interior,2,0.19
arranco,2,0.19
terminara,2,0.19
subir,2,0.19
hecho,2,0.19
ocurrio,2,0.19
afectada,2,0.19
fractura,2,0.19
muneca,2,0.19
izquierda,2,0.19
colisiono,2,0.19
alumbrado,2,0.19
benavides,2,0.19
manifesto,2,0.19
haber,2,0.19
sufrido,2,0.19
desperfecto,2,0.19
mecanico,2,0.19
direccion,2,0.19
inclinado,2,0.19
solicito,2,0.19
intervencion,2,0.19
empresa,2,0.19
concesionaria,2,0.19
ciclista,2,0.19
responsable,2,0.19
abandono,2,0.19
escena,2,0.19
prestar,2,0.19
auxilio,2,0.19
asistida,2,0.19
transeuntes,2,0.19
derivada,2,0.19
emergencia,2,0.19
posible,2,0.19
traumatismo,2,0.19
pierna,2,0.19
derecha,2,0.19
argentina,2,0.19
presuntamente,2,0.19
originado,2,0.19
cortocircuito,2,0.19
sistema,2,0.19
electrico,2,0.19
completamente,2,0.19
calcinada,2,0.19
victimas,2,0.19
propagacion,2,0.19
inmuebles,2,0.19
colindantes,2,0.19
lateral,2,0.19
automoviles,2,0.19
momento,2,0.19
cambio,2,0.19
previa,2,0.19
peru,2,0.19
ambos,2,0.19
llegaron,2,0.19
acuerdo,2,0.19
conciliatorio,2,0.19
denuncia,2,0.19
policial,2,0.19
curva,2,0.19
defensores,2,0.19
morro,2,0.19
presencia,2,0.19
arena,2,0.19
sufrieron,2,0.19
escoriaciones,2,0.19
superficiales,2,0.19
chasis,2,0.19
rueda,2,0.19
delantera,2,0.19
transito,2,0.19
comprometio,2,0.19
interseccion,2,0.19
tomas,2,0.19
valle,2,0.19
panamericana,2,0.19
probable,2,0.19
desacato,2,0.19
luz,2,0.19
roja,2,0.19
semaforo,2,0.19
parte,2,0.19
involucradas,2,0.19
adulto,2,0.19
urbano,2,0.19
alcazar,2,0.19
mientras,2,0.19
intentaba,2,0.19
abordar,2,0.19
paradero,2,0.19
informal,2,0.19
inmediato,2,0.19
